time,open,high,low,close,Volume,Volume MA
1574985600,641,667,641,660.99995,367.37938861,327.25050731950046
1575072000,658.01013,664.99999,646,653.15223,92.03205017,316.25045676700046
1575158400,646.98049,652.86247,634,645.20005,97.25834634,304.9649814895005
1575244800,647.73279,648.22,532.0001,634.88999,394.08037022,316.17154943800045
1575331200,632,639.83,581.0001,620.99995,436.98865645,316.1007009025005
1575417600,619.24001,634.95,604,615.61067,220.10348703,315.60006889300047
1575504000,621.61814,639.78,582,625.9836,423.68684129,330.6976046675005
1575590400,622.70081,626.79975,616.74015,623.69609,137.4679707,334.4644307770005
1575676800,623.47975,626.69989,620,622.43474,45.93507406,334.35608145400045
1575763200,622.31676,626,618.25,622.5,52.52092576,323.0371416095005
1575849600,622.5,625.9654,601.13,617.74875,212.03154243,324.2819679715005
1575936000,613.34136,617,607,607.65042,126.72617562,324.76230125650045
1576022400,608.98591,690,589.17005,592.25,573.15995475,326.13763359200044
1576108800,594,638,551.011,601.73,436.29070312,302.7875063420005
1576195200,602.66682,603.72982,593.04103,600.11,185.15847772,304.72175413850044
1576281600,600.11,603,590,593.41295,67.96818903,299.5938286620004
1576368000,590.00187,594.33102,580.10051,590.00005,38.90079138,271.12700057850043
1576454400,592.78357,592.78357,513.02,544.90724,474.05284308,280.05609926700043
1576540800,544.60643,548.91918,465.85,500.99,582.03501387,263.0311689185004
1576627200,497.2402,568,480.21936,545.76801,787.01015314,287.5393477385004
1576713600,542.70001,567,515,522.47081,457.85991523,292.0633740695004
1576800000,524.99994,533.10998,519.00001,524.65,187.78928184,296.8512356530004
1576886400,529.92987,530,523.24145,527.39993,63.67964828,295.17230075000043
1576972800,527.4,547,525.06205,544.38999,126.99570528,281.8180675030004
1577059200,541.34062,551.5,505,520.65084,438.59604861,281.8984371110004
1577145600,520.65,544,520.65,527.42118,133.76203805,277.58136466200045
1577232000,534.46478,534.46478,510,521.5,134.45096859,263.11957102700046
1577318400,521.5,556.99,511.33051,516.90187,292.78485832,270.8854154080005
1577404800,525,530,511,521.36943,473.46660086,292.26199174800047
1577491200,521.12887,524.77,518.29037,523.1,100.40625271,294.65625809550045
